date,day_of_week,is_holiday,is_week_end,is_work
2013/4/3,3,0,1,1
2013/4/4,4,1,1,0
2013/4/5,5,1,1,0
2013/4/6,6,1,0,0
2013/4/7,7,0,0,1
2013/4/8,1,0,1,1
2013/4/9,2,0,1,1
2013/4/10,3,0,1,1
2013/4/11,4,0,1,1
2013/4/12,5,0,1,1
2013/4/13,6,0,0,0
2013/4/14,7,0,0,0
2013/4/15,1,0,1,1
2013/4/16,2,0,1,1
2013/4/17,3,0,1,1
2013/4/18,4,0,1,1
2013/4/19,5,0,1,1
2013/4/20,6,0,0,0
2013/4/21,7,0,0,0
2013/4/22,1,0,1,1
2013/4/23,2,0,1,1
2013/4/24,3,0,1,1
2013/4/25,4,0,1,1
2013/4/26,5,0,1,1
2013/4/27,6,0,0,1
2013/4/28,7,0,0,1
2013/4/29,1,1,1,0
2013/4/30,2,1,1,0
2013/5/1,3,1,1,0
2013/5/2,4,0,1,1
2013/5/3,5,0,1,1
2013/5/4,6,0,0,0
2013/5/5,7,0,0,0
2013/5/6,1,0,1,1
2013/5/7,2,0,1,1
2013/5/8,3,0,1,1
2013/5/9,4,0,1,1
2013/5/10,5,0,1,1
2013/5/11,6,0,0,0
2013/5/12,7,0,0,0
2013/5/13,1,0,1,1
2013/5/14,2,0,1,1
2013/5/15,3,0,1,1
2013/5/16,4,0,1,1
2013/5/17,5,0,1,1
2013/5/18,6,0,0,0
2013/5/19,7,0,0,0
2013/5/20,1,0,1,1
2013/5/21,2,0,1,1
2013/5/22,3,0,1,1
2013/5/23,4,0,1,1
2013/5/24,5,0,1,1
2013/5/25,6,0,0,0
2013/5/26,7,0,0,0
2013/5/27,1,0,1,1
2013/5/28,2,0,1,1
2013/5/29,3,0,1,1
2013/5/30,4,0,1,1
2013/5/31,5,0,1,1
2013/6/1,6,0,0,0
2013/6/2,7,0,0,0
2013/6/3,1,0,1,1
2013/6/4,2,0,1,1
2013/6/5,3,0,1,1
2013/6/6,4,0,1,1
2013/6/7,5,0,1,1
2013/6/8,6,0,0,1
2013/6/9,7,0,0,1
2013/6/10,1,1,1,0
2013/6/11,2,1,1,0
2013/6/12,3,1,1,0
2013/6/13,4,0,1,1
2013/6/14,5,0,1,1
2013/6/15,6,0,0,0
2013/6/16,7,0,0,0
2013/6/17,1,0,1,1
2013/6/18,2,0,1,1
2013/6/19,3,0,1,1
2013/6/20,4,0,1,1
2013/6/21,5,0,1,1
2013/6/22,6,0,0,0
2013/6/23,7,0,0,0
2013/6/24,1,0,1,1
2013/6/25,2,0,1,1
2013/6/26,3,0,1,1
2013/6/27,4,0,1,1
